TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ENGI4;7,32;9,18;5,45;1,52;0,26;24,82;20,32;9,78;2,62;6,83;3,74;2,17;0,53;6,53;-0,34;1,19;28,00;4,70;12,55;0,17;0,81;0,48;17,81;77,69;219.043,93;4,80;1,34;0,57;17.605.473.186,36
ENMA3B;50,49;6,50;11,58;2,70;1,03;30,41;19,00;13,11;7,99;;1,38;0,47;1,52;7,24;-1,54;1,73;23,30;8,86;15,85;0,38;0,62;0,68;11,48;12,36;;18,72;4,36;-0,90;
ENMA6B;83,99;3,91;19,26;4,49;1,71;30,41;19,00;13,11;13,30;;1,38;0,47;2,53;12,04;-2,57;1,73;23,30;8,86;15,85;0,38;0,62;0,68;11,48;12,36;;18,72;4,36;-1,49;
ENMT3;83,19;3,58;14,57;5,33;1,53;30,03;24,92;15,87;9,28;11,27;1,99;1,14;2,31;20,26;-2,06;1,42;36,57;10,49;20,55;0,29;0,71;0,66;16,93;57,00;96.228,06;15,61;5,71;2,85;18.213.779.905,41
ENMT4;83,19;3,58;14,57;5,33;1,53;30,03;24,92;15,87;9,28;11,27;1,99;1,14;2,31;20,26;-2,06;1,42;36,57;10,49;20,55;0,29;0,71;0,66;16,93;57,00;97.191,96;15,61;5,71;2,85;18.213.779.905,41
EQPA3;6,20;4,68;9,84;3,44;1,07;32,38;23,49;15,41;6,46;7,66;1,19;0,64;1,52;6,45;-1,77;1,73;34,97;10,89;20,27;0,31;0,69;0,71;12,16;31,68;23.597,07;1,80;0,63;0,15;13.715.319.558,04
EQPA5;7,14;4,06;11,33;3,96;1,23;32,38;23,49;15,41;7,44;7,66;1,19;0,64;1,75;7,43;-2,03;1,73;34,97;10,89;20,27;0,31;0,69;0,71;12,16;31,68;3.911,50;1,80;0,63;0,17;13.715.319.558,04
EQPA6;10,48;2,77;16,63;5,82;1,81;32,38;23,49;15,41;10,91;7,66;1,19;0,64;2,56;10,91;-2,98;1,73;34,97;10,89;20,27;0,31;0,69;0,71;12,16;31,68;;1,80;0,63;0,26;13.715.319.558,04
EQPA7;7,26;3,99;11,52;4,03;1,25;32,38;23,49;15,41;7,56;7,66;1,19;0,64;1,78;7,55;-2,07;1,73;34,97;10,89;20,27;0,31;0,69;0,71;12,16;31,68;5.451,00;1,80;0,63;0,18;13.715.319.558,04
EQTL3;24,06;2,66;8,38;1,72;0,38;29,60;19,80;11,63;4,92;9,05;4,13;1,44;0,97;3,29;-0,52;1,73;20,51;4,54;10,95;0,22;0,75;0,39;24,97;35,40;163.042.148,36;14,00;2,87;1,01;27.162.166.115,10
GEPA3;23,06;;27,66;1,09;0,54;21,17;19,97;5,63;7,80;11,31;2,88;0,40;1,56;-5,10;-0,63;0,59;3,92;1,94;7,87;0,49;0,51;0,34;0,20;-26,26;12.086,18;21,24;0,83;-0,33;2.353.277.412,36
